dutch;french;type;id;article;part;chapter;tags;issuer;date;difficulty;
In welk jaar ben je geboren?;En quelle année es-tu né(e) ?;;fc62c8aa-7685-40f7-b275-994d81205c74;;;;;1729780136390;-1;-1;
In welke maand ben je geboren?;Dans quel mois es-tu né(e) ?;;3b45f289-4376-4afe-a5c5-b59ebd9976ff;;;;;1729780136390;-1;-1;
Hoe heet je?;Comment tu t'appelles ?;;1700319e-0643-4e15-a997-10732b0c727b;;;;;1729780136390;-1;-1;
Hoe oud ben jij?;Quel âge as-tu ?;;1af7b943-b7b6-4eb0-a529-884dbb14a2eb;;;;;1729780136390;-1;-1;
Waar woon je?;Où habites-tu ?;;8627c0d4-3b96-424e-8713-b10a47899f83;;;;;1729780136390;-1;-1;
Uit welk land kom je?;De quel pays viens-tu ?;;a106f232-85ba-49e1-b7be-752409a25a81;;;;;1729780136390;-1;-1;
Welke talen spreek je?;Quelles langues parles-tu ?;;e6a35139-d4c2-47f3-87a7-22edda875dfe;;;;;1729780136390;-1;-1;
Hoelang woon je in België?;Depuis combien de temps habites-tu en Belgique ?;;37526115-13fc-4563-bdb3-e11ca67a9aae;;;;;1729780136390;-1;-1;
Hoe kom je naar school?;Comment viens-tu à l'école ?;;82dfae6f-4d26-4b64-a02a-b9d892029bf1;;;;;1729780136391;-1;-1;
Ben je getrouwd?;Es-tu marié ?;;326d6e31-b728-41aa-b0d6-c2d11e18d4c6;;;;;1729780136391;-1;-1;
Heb je kinderen?;As-tu des enfants ?;;a913f327-a376-46d9-9d3e-8e13b997d929;;;;;1729780136391;-1;-1;
Heb jij broers en zussen?;As-tu des frères et sœurs ?;;00041efb-0584-46c1-be72-a6bbb0073e39;;;;;1729780136391;-1;-1;
Heb je huisdieren?;As-tu des animaux de compagnie ?;;5e03b968-8608-4b06-99c2-ea24932c36a0;;;;;1729780136395;-1;-1;
